algorithm,init,crossover,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_dense,UX,2,662266869,133.0,-0.2706766917293233,-0.43179757905401805,0.004019623839691145
NSGA2,random_dense,UX,2,662266869,171.0,-0.12280701754385964,-0.33422504251171664,0.001656622145774062
NSGA2,random_dense,UX,2,662266869,176.0,-0.13636363636363635,-0.31835307865892976,0.0014511055681550582
NSGA2,random_dense,UX,2,662266869,177.0,-0.15254237288135594,-0.3068878470970069,0.001412970036796021
NSGA2,random_dense,UX,2,662266869,130.0,-0.25384615384615383,-0.4410938352427714,0.0044930500308195094
NSGA2,random_dense,UX,2,662266869,243.0,-0.23045267489711935,-0.3531725184601465,0.0018744473762734894
NSGA2,random_dense,UX,2,662266869,213.0,-0.1784037558685446,-0.32948340159158257,0.0015327909877886614
NSGA2,random_dense,UX,2,662266869,95.0,-0.25263157894736843,-0.4236375513251213,0.00392673796554876
NSGA2,random_dense,UX,2,662266869,210.0,-0.18095238095238095,-0.3156070584262074,0.0013714025998626067
NSGA2,random_dense,UX,2,662266869,117.0,-0.26495726495726496,-0.42682002788385764,0.003768080600796157
NSGA2,random_dense,UX,2,662266869,124.0,-0.27419354838709675,-0.4263397963852665,0.003634012983963092
