init,Compacidad,Tolerancia,Hamming,Balance
greedy_ting,278.0,57.0,109.4982269503546,233.5638266435294
greedy_ting,263.0,62.0,107.4459219858156,283.8765081924955
greedy_ting,164.0,36.0,65.98581560283688,110.16291937025316
greedy_ting,156.0,22.0,59.24379432624114,70.81379127684829
greedy_ting,84.0,16.0,31.47695035460993,23.76897225994653
greedy_ting,207.0,31.0,87.6604609929078,204.69233737613817
greedy_ting,312.0,70.0,123.74468085106383,324.0341029123285
greedy_ting,394.0,82.0,149.96808510638297,546.5592651275091
greedy_ting,34.0,1.0,14.191489361702128,10.449147427191797
greedy_ting,207.0,49.0,78.18971631205673,118.1803197776772
greedy_ting,385.0,83.0,144.58333333333334,451.1561761229289
greedy_ting,32.0,5.0,12.79609929078014,8.30239613198525
greedy_ting,352.0,74.0,142.9991134751773,479.1817368027269
greedy_ting,236.0,53.0,96.96808510638296,213.8642296665159
greedy_ting,220.0,39.0,84.75265957446808,137.44680143730207
greedy_ting,288.0,52.0,117.70921985815605,327.2558724410237
greedy_ting,13.0,0.0,4.439716312056738,2.5619687138473948
greedy_ting,323.0,68.0,123.15425531914892,491.430106005734
greedy_ting,89.0,13.0,29.147163120567377,32.29039975353361
greedy_ting,41.0,0.0,17.072695035460992,23.48762323323781
greedy_ting,308.0,32.0,114.28191489361704,307.73967292892723
greedy_ting,259.0,36.0,91.13297872340424,175.0780613399727
greedy_ting,417.0,70.0,150.41932624113474,574.3374633758369
greedy_ting,379.0,50.0,138.31205673758865,446.2288617272774
greedy_ting,431.0,87.0,150.99290780141845,511.5673255872442
greedy_ting,58.0,2.0,25.608156028368796,108.68333773452032
greedy_ting,316.0,68.0,109.89716312056736,247.63836074644124
greedy_ting,393.0,82.0,137.6631205673759,401.2269377797901
greedy_ting,286.0,65.0,108.78457446808513,351.3800102799154
greedy_ting,376.0,83.0,138.9113475177305,500.6942683969616
greedy_ting,339.0,55.0,119.02836879432624,279.719053367537
greedy_ting,149.0,23.0,61.908687943262414,224.356023810422
greedy_ting,264.0,53.0,98.08067375886525,257.6131725956945
greedy_ting,418.0,83.0,154.1054964539007,644.0376293634627
greedy_ting,214.0,28.0,86.20833333333333,277.52308658392434
greedy_ting,181.0,34.0,65.57890070921985,125.51682432347434
greedy_ting,250.0,48.0,99.73581560283688,391.3911995120965
greedy_ting,110.0,5.0,46.40602836879432,146.86705585735123
greedy_ting,238.0,50.0,82.16666666666667,150.97222222222263
greedy_ting,306.0,51.0,120.1214539007092,431.1049298010659
greedy_ting,206.0,11.0,78.55585106382979,176.96673881469752
greedy_ting,347.0,70.0,125.63475177304964,382.4339696192346
greedy_ting,99.0,15.0,35.71719858156028,36.7134630740406
greedy_ting,124.0,10.0,51.3741134751773,157.92386889492488
greedy_ting,332.0,68.0,129.11524822695034,569.3874270660427
greedy_ting,188.0,36.0,71.52836879432624,133.14281223278516
greedy_ting,226.0,29.0,90.63209219858156,316.911629665258
greedy_ting,47.0,0.0,21.430851063829788,28.743445374981004
greedy_ting,313.0,70.0,110.94326241134752,238.93295105879977
greedy_ting,232.0,52.0,84.88209219858156,146.43024668653487
greedy_ting,344.0,56.0,121.46542553191487,296.2700812019012
greedy_ting,438.0,88.0,154.4326241134752,549.880212262965
greedy_ting,265.0,35.0,96.01595744680851,183.87563188471455
greedy_ting,31.0,5.0,13.791666666666666,11.771313534279026
greedy_ting,147.0,23.0,62.361702127659576,264.30534178361233
greedy_ting,375.0,85.0,139.69858156028369,506.4233313213619
greedy_ting,380.0,83.0,133.25177304964538,368.1316457924649
greedy_ting,398.0,75.0,148.95833333333334,603.8679447399535
greedy_ting,268.0,55.0,101.47872340425532,271.9374905688849
greedy_ting,122.0,24.0,49.348404255319146,111.40432369473363
greedy_ting,419.0,85.0,156.1445035460993,668.4675939024696
greedy_ting,212.0,48.0,82.36613475177305,222.13810846411133
greedy_ting,357.0,72.0,131.3909574468085,407.43669128187656
greedy_ting,164.0,16.0,58.74202127659574,81.99816329032775
greedy_ting,283.0,66.0,109.94503546099293,351.15300726824546
greedy_ting,239.0,48.0,97.5150709219858,409.2462267680195
greedy_ting,320.0,49.0,122.6267730496454,501.772935686082
greedy_ting,45.0,3.0,21.8209219858156,122.53885305065096
greedy_ting,302.0,33.0,115.6640070921986,362.91104493611954
greedy_multi,18.0,0.0,9.168439716312056,6.453897565514832
greedy_multi,7.0,0.0,3.381205673758865,1.5816325889039693
greedy_multi,31.0,5.0,15.650709219858156,8.324804461546204
greedy_multi,44.0,11.0,22.227836879432623,18.032310214526436
greedy_multi,49.0,12.0,24.32624113475177,20.63115537447821
greedy_multi,40.0,6.0,20.288120567375888,17.933830510286203
greedy_multi,15.0,2.0,7.613475177304965,3.187477994064644
greedy_multi,49.0,10.0,24.606382978723403,21.97272521502945
greedy_multi,28.0,2.0,14.22163120567376,8.17073776469993
greedy_multi,31.0,7.0,15.324468085106384,7.671316206428266
greedy_multi,40.0,8.0,19.615248226950357,11.834235576681284
greedy_multi,33.0,7.0,16.729609929078013,10.186640982596453
greedy_multi,36.0,9.0,18.007978723404257,10.45295052437
greedy_multi,29.0,4.0,14.75177304964539,11.69370253005383
greedy_multi,51.0,12.0,25.56294326241135,24.042137436497125
greedy_multi,43.0,8.0,21.79698581560284,19.996905808309396
greedy_multi,42.0,10.0,21.11436170212766,14.87078664931339
greedy_multi,10.0,0.0,5.086879432624113,2.1981257230521605
greedy_multi,36.0,5.0,18.247340425531917,12.916659593330277
greedy_multi,25.0,5.0,12.51418439716312,5.969656958905491
greedy_multi,42.0,8.0,20.71010638297872,13.09060708088117
greedy_multi,38.0,5.0,19.27482269503546,13.59468525225087
greedy_multi,10.0,0.0,5.085992907801418,2.2629952907298465
greedy_multi,38.0,9.0,19.20921985815603,14.076794426839763
greedy_multi,26.0,5.0,13.148936170212766,6.534555605854837
greedy_multi,49.0,12.0,24.34308510638298,20.65090963105476
greedy_multi,39.0,9.0,19.30673758865248,11.749883682913424
greedy_multi,21.0,4.0,10.586879432624114,4.889615084754299
greedy_multi,44.0,10.0,22.21719858156028,16.111512719430618
greedy_multi,32.0,7.0,16.12322695035461,8.303077530053807
greedy_multi,28.0,1.0,14.21985815602837,8.441024093355473
greedy_multi,52.0,10.0,26.17198581560284,25.23283222674913
greedy_multi,7.0,0.0,3.381205673758865,1.5816325889039693
greedy_multi,30.0,4.0,15.252659574468083,12.46541845857859
greedy_multi,46.0,11.0,22.81914893617021,16.059491474271926
greedy_multi,52.0,12.0,25.779255319148938,21.844002282329875
greedy_multi,54.0,12.0,26.96276595744681,26.831946959408505
greedy_multi,35.0,7.0,17.73758865248227,11.523338866254216
greedy_multi,33.0,5.0,16.66223404255319,9.177580824656747
greedy_multi,15.0,2.0,7.600177304964539,3.580390039484963
greedy_multi,20.0,1.0,10.179078014184396,7.368640284693919
greedy_multi,31.0,7.0,15.592198581560284,9.01100296765765
greedy_multi,41.0,7.0,20.80673758865248,17.73215318645941
greedy_multi,30.0,7.0,14.554078014184396,6.858777696041457
greedy_multi,29.0,7.0,14.51595744680851,7.283433303153764
greedy_multi,28.0,5.0,13.747340425531917,6.453007111060789
greedy_multi,26.0,4.0,12.640070921985815,5.739245385040987
greedy_multi,40.0,9.0,19.640070921985817,12.065486519792776
greedy_multi,19.0,2.0,9.64450354609929,6.411742838639853
