algorithm,init,crossover,Range_mean,Range_std,MinSum_mean,MinSum_std,SumMin_mean,SumMin_std,MaxToleranceRate_mean,MaxToleranceRate_std,AvgToleranceRate_mean,AvgToleranceRate_std,AvgHammingDistance_mean,AvgHammingDistance_std,Hypervolume_mean,Hypervolume_std,IGD+_mean,IGD+_std,GD+_mean,GD+_std,Average Ranking Overall,Average Ranking (Algorithm),Average Ranking (Initialization),Average Ranking (Crossover),elapsed_sec_mean,elapsed_sec_std,n_solutions_final_front_mean,n_solutions_final_front_std,n_infeasible_final_front_mean,n_infeasible_final_front_std
NSGA3,greedy_ting,1P,2.0888552595323038,0.06254952358497701,1.5179384827662046,0.014679599227188424,0.7372288468718837,0.027945600669245063,0.22536673195500556,0.004821612995343834,0.15755193690435637,0.005042957629730673,95.01895773649998,3.7725481719981495,0.40673655036746303,0.007719734027769326,0.02703638435736245,0.02314322726244004,0.5352757975674173,0.028003947326954826,42.0,3.6666666666666665,2.0,4.0,0.0,0.0,27.516129032258064,1.3631084021929556,0.0,0.0
NSGA3,greedy_ting,2P,2.116866039415575,0.09701034830660037,1.500382373933575,0.012373608726079123,0.7222832373039052,0.04085636279017456,0.23013832024934858,0.004798018082452998,0.16198251111415057,0.0061856141705669025,96.36343203298321,3.7572949696027744,0.41832770331535524,0.01088772551422666,0.03397728928084253,0.025417095022756638,0.5398017276482237,0.027106350584655242,38.55555555555556,3.6666666666666665,2.0,3.0,0.0,0.0,28.387096774193548,1.9092305492848634,0.0,0.0
NSGA3,greedy_ting,HUX,1.9896184662745717,0.06478607151275573,1.4690935791470667,0.011631257771739918,0.7549991101219089,0.032918477052128366,0.24791180721409475,0.00627083565955044,0.19813102171227498,0.008662292536950781,90.43659894153619,2.6294430004967198,0.4175009765970719,0.010093946054058021,0.02061153967483925,0.011401599528691578,0.45869298282076676,0.01921834344170207,31.555555555555557,3.6666666666666665,2.0,1.3333333333333333,0.0,0.0,20.29032258064516,1.4875830147613454,0.0,0.0
NSGA3,greedy_ting,UX,1.9999655304116883,0.06877606071206263,1.4756665878981265,0.013572039752593976,0.7478966352617943,0.03475084675650673,0.24477955452524583,0.0061572017904428815,0.19701848228738952,0.005716143376002441,90.40661795837488,2.3984719622359685,0.41951066691816175,0.010237826655610316,0.023123167224703006,0.012095655524408869,0.4633828088818476,0.018733510970625273,32.333333333333336,3.6666666666666665,2.0,1.6666666666666667,0.0,0.0,20.870967741935484,1.586231077825064,0.0,0.0
NSGA3,random_dense,1P,1.0579890737375213,0.07616303737523702,1.4909219587419766,0.013671927952081685,1.0922427262087453,0.029003037661298973,0.2295108846611463,0.0040563886264326525,0.2019075816116884,0.004669973378270058,135.41379845285553,3.6047229152616107,0.39754489259328474,0.009382389649151144,0.5453731222332492,0.025192283812324544,0.7813998658609714,0.028576425214085963,48.0,3.6666666666666665,1.7777777777777777,4.0,0.0,0.0,31.387096774193548,2.9402655135757017,0.0,0.0
NSGA3,random_dense,2P,1.1814045779050626,0.07467421089203063,1.4742595903664288,0.016208075396905965,1.0279464977857227,0.025311014797885913,0.23381892886979563,0.0045820287326424946,0.20133310882424316,0.00677763430315849,136.89468745722093,3.446462703853443,0.4199739141108828,0.008624795208655361,0.5189717539103784,0.020261307232922368,0.7831777921429047,0.027748863743868257,42.22222222222222,3.6666666666666665,1.7777777777777777,3.0,0.0,0.0,32.32258064516129,2.241831048855579,0.0,0.0
NSGA3,random_dense,HUX,1.3818776565584852,0.0672186313470818,1.422779986819728,0.011664355679810948,0.8794979574645712,0.027201980800409753,0.25238153672218794,0.004052904212457914,0.22415307233071552,0.004097502756563033,141.1451253015551,3.3407155512790316,0.4774011940508867,0.006701964982630971,0.4707009241089275,0.024913553592182603,0.7675469200608912,0.02658292242593677,27.555555555555557,3.6666666666666665,1.7777777777777777,1.3333333333333333,0.0,0.0,25.838709677419356,1.951012970972573,0.0,0.0
NSGA3,random_dense,UX,1.3517919691404312,0.07190563290441389,1.4228211900874088,0.012000522356072968,0.8877507410506866,0.025759596395139174,0.25033932907488754,0.0043490513845580265,0.22414173643032578,0.0050881750413694325,141.42799314164245,3.7931305242360804,0.475014704326688,0.007145931500969248,0.4752289290156327,0.02770126381548679,0.7696103098531808,0.028589357259932547,29.333333333333332,3.6666666666666665,1.7777777777777777,1.6666666666666667,0.0,0.0,25.741935483870968,2.308935424757246,0.0,0.0
RVEA,greedy_multi,1P,0.09970650578654883,0.015924551919556787,1.9445867795191174,0.007687126709021717,1.9162264936862357,0.01154505126492616,0.2369542833669469,0.010421223801217336,0.14283810744303158,0.005894293179663746,8.364956618582074,0.7492721822046211,0.025477185151757537,0.0019549733813672386,0.00046132165010371456,0.00036386402029049046,0.018592790820395427,0.0029548496301297863,61.666666666666664,5.777777777777778,2.2222222222222223,4.0,0.0,0.0,27.483870967741936,3.604358174413631,192.51612903225808,3.6043581744136315
RVEA,greedy_multi,2P,0.11324073703418856,0.011992323778819128,1.9379153905973394,0.006960673765710184,1.9059809581040694,0.009221797037461767,0.23877614185613413,0.01517884183342814,0.14540257046107088,0.00728263564203529,9.064355941948767,0.6136189858484349,0.027245032666891635,0.001642075427784471,0.0004990471057300754,0.00041909792453843865,0.021157739839262314,0.0024170277584248416,60.888888888888886,5.777777777777778,2.2222222222222223,3.0,0.0,0.0,27.225806451612904,3.403034698807863,192.7741935483871,3.403034698807864
