tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Disimilitud,Balance
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,422.0,94.0,163.2331560283688,719.0245389756547
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,414.0,81.0,161.18262411347519,682.9382796388503
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,391.0,78.0,154.40514184397162,646.9058955472559
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,384.0,85.0,149.09485815602838,564.8181295898102
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,352.0,63.0,142.43971631205673,615.1577133946977
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,351.0,51.0,138.72163120567376,496.84804272923935
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,419.0,79.0,159.1258865248227,593.519613575776
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,350.0,48.0,137.12943262411346,457.8165805291489
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,302.0,57.0,119.46099290780141,343.46479050349615
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,429.0,84.0,171.92021276595744,941.8624283235253
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,313.0,63.0,121.28989361702128,350.8140113362001
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,454.0,91.0,173.66400709219857,749.655725787182
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,385.0,74.0,155.78102836879432,802.554001779337
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,387.0,78.0,157.9964539007092,825.3616895528398
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,367.0,56.0,141.11170212765958,480.64355100347035
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,367.0,56.0,141.11170212765958,480.64355100347035
