algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,Range,SumMin,MinSum,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume
NSGA3,random,3,6553752,280.37809896469116,47,1.8032338705112534,0.7517499675755288,1.136372287702859,0.02631578947368421,0.016631021982914634,165.57284403122952,0.3121318040423072
NSGA3,random,4,4396821,279.4204947948456,49,2.097897694055912,0.7065679022566717,1.1114718215733315,0.02973977695167286,0.016580280477719513,154.9671897330361,0.3324893404398927
NSGA3,random,5,4338189,278.80686140060425,55,2.071025917632942,0.6641246914308754,1.104862372101875,0.030534351145038167,0.017428593149739314,153.8463534504711,0.3416434434340605
NSGA3,greedy_hybrid,1,892754,279.3469305038452,35,1.050648563920448,1.0996437356891713,1.2425914843644998,0.14285714285714285,0.0635358586787357,28.121512605042014,0.11344938348486043
NSGA3,greedy_hybrid,2,7739805,280.26188707351685,32,1.2023730551376712,0.9614657442789812,1.1173106965238115,0.13793103448275862,0.06800387513476444,29.560587359943977,0.14052654714020232
NSGA3,greedy_hybrid,3,6545960,281.8549039363861,39,1.047482608687481,1.101554838432423,1.242917877608025,0.13953488372093023,0.063820619783719,27.632338576456224,0.11252770334743796
NSGA3,greedy_hybrid,4,4389029,281.28731083869934,29,1.228628020066343,0.94983181183171,1.1176595172694417,0.12962962962962962,0.07047701702860476,30.58888727904955,0.15059683929448664
NSGA3,greedy_hybrid,5,4330397,272.89421582221985,30,1.1886610417039631,0.9679868201423546,1.1167746284896725,0.13333333333333333,0.07167292809357782,28.932875816993462,0.13560796177959014
NSGA3,greedy_pure,1,895718,276.8785147666931,28,0.6835447738983952,1.2811067007891754,1.3676330352755721,0.12903225806451613,0.07579483466925997,21.036664665866347,0.06441058030549282
NSGA3,greedy_pure,2,7742769,277.1794970035553,26,0.6780845243263943,1.2834324501724028,1.3669132762907372,0.125,0.07534611839513218,20.94436005171299,0.06311177073826509
NSGA3,greedy_pure,3,6548924,275.5739436149597,27,0.6848882352463268,1.28001579725848,1.3669341100591834,0.125,0.07624508271877871,21.37261126672891,0.06502644831185399
NSGA3,greedy_pure,4,4391993,274.97332286834717,29,0.6844374736724751,1.2803579898111246,1.367500080137951,0.12903225806451613,0.07614564068811984,21.050193180720566,0.06484526671719608
