generation,algorithm,init,crossover,run,seed,n_solutions,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
331,MOEAD_TCHE,greedy_multi,UX,1,1512656746,81,0.19974877476879965,1.8459292888542755,1.9018679781631445,0.03873872150028587,0.0035976060788092123,0.5591849410795545,0.21621621621621623,0.1551162003644431,16.035844059189213,0.020771818729519706
341,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.210913393826506,1.8362140008713685,1.8951602862680454,0.04076869818758752,0.0035976060788092123,0.5732171393570468,0.2222222222222222,0.1532446037412619,16.238464623438027,0.021034280600308326
351,MOEAD_TCHE,greedy_multi,UX,1,1512656746,79,0.21450775267674912,1.834637009009346,1.8941051551336572,0.04109588432527023,0.0035976060788092123,0.5946241931704864,0.2222222222222222,0.15492258912381915,16.686540533261518,0.021614689809924245
361,MOEAD_TCHE,greedy_multi,UX,1,1512656746,81,0.2178514809290889,1.8326441072056912,1.894541591241393,0.04151770274644942,0.0035976060788092123,0.6030922219622992,0.22727272727272727,0.1518401223545561,16.810371245950442,0.02177509228750057
371,MOEAD_TCHE,greedy_multi,UX,1,1512656746,81,0.22929928917651804,1.8228387054020971,1.8868208196190488,0.04362889543356611,0.0035976060788092123,0.6247455581838968,0.22448979591836735,0.15424502180234692,17.166327379388846,0.02223617536190265
381,MOEAD_TCHE,greedy_multi,UX,1,1512656746,82,0.22929928917651804,1.8228387054020971,1.8868208196190488,0.04362485566532214,0.0035976060788092123,0.6383164930290524,0.22448979591836735,0.1581359297903678,17.452549299429162,0.022606929144338293
391,MOEAD_TCHE,greedy_multi,UX,1,1512656746,82,0.22929928917651804,1.8228387054020971,1.8868208196190488,0.04364053970614765,0.0035976060788092123,0.6386125580355362,0.2391304347826087,0.15950727655661126,17.465112004843455,0.022623202078812764
401,MOEAD_TCHE,greedy_multi,UX,1,1512656746,82,0.22929928917651804,1.8228387054020971,1.8871970940456038,0.043646047340128134,0.0035976060788092123,0.641351735251769,0.2391304347826087,0.16059017112774182,17.533104134232833,0.02271127478527569
411,MOEAD_TCHE,greedy_multi,UX,1,1512656746,82,0.22929928917651804,1.8228387054020971,1.8871970940456038,0.04364999552862916,0.0035976060788092123,0.6412772715078356,0.2391304347826087,0.16152368519953497,17.527676872513407,0.022704244653514775
421,MOEAD_TCHE,greedy_multi,UX,1,1512656746,81,0.22929928917651804,1.8228387054020971,1.8871970940456038,0.04365017538113883,0.0035976060788092123,0.63731584027101,0.2391304347826087,0.16169725057233483,17.463269415988094,0.02262081530568406
