config,time_seg
AGEMOEA2-greedy_multi-HUX,288.1884968280792
AGEMOEA2-greedy_multi-HUX,464.4187059402466
AGEMOEA2-greedy_multi-HUX,350.5390808582306
AGEMOEA2-greedy_multi-1P,447.8935580253601
AGEMOEA2-greedy_multi-1P,459.62252402305603
AGEMOEA2-greedy_multi-1P,336.83556866645813
AGEMOEA2-greedy_multi-1P,332.53454875946045
AGEMOEA2-greedy_multi-1P,301.99640130996704
AGEMOEA2-greedy_multi-2P,237.4383900165558
AGEMOEA2-greedy_multi-2P,481.5509920120239
AGEMOEA2-greedy_multi-2P,282.9129333496094
AGEMOEA2-greedy_multi-2P,476.2180082798004
AGEMOEA2-greedy_multi-2P,344.2600734233856
SMSEMOA-random_dense-UX,1973.0101215839386
SMSEMOA-random_dense-UX,2056.78142118454
SMSEMOA-random_dense-UX,2103.3904416561127
SMSEMOA-random_dense-UX,2004.545261144638
SMSEMOA-random_dense-UX,1729.4012868404388
SMSEMOA-random_dense-HUX,1985.9020845890045
SMSEMOA-random_dense-HUX,2280.5346541404724
SMSEMOA-random_dense-HUX,1708.47456240654
SMSEMOA-random_dense-HUX,2060.709266424179
SMSEMOA-random_dense-HUX,2034.861935377121
SMSEMOA-random_dense-1P,2301.991624355316
SMSEMOA-random_dense-1P,2537.692727804184
SMSEMOA-random_dense-1P,1800.430824995041
SMSEMOA-random_dense-1P,2272.397813796997
SMSEMOA-random_dense-1P,2271.108258962631
SMSEMOA-random_dense-2P,1942.8956372737885
SMSEMOA-random_dense-2P,1752.4316873550415
SMSEMOA-random_dense-2P,2361.1356751918793
SMSEMOA-random_dense-2P,2421.326857805252
SMSEMOA-random_dense-2P,2098.852394580841
SMSEMOA-greedy_ting-UX,1336.5854015350342
SMSEMOA-greedy_ting-UX,1673.7950553894043
SMSEMOA-greedy_ting-UX,1411.0968270301819
SMSEMOA-greedy_ting-UX,1505.3038356304169
SMSEMOA-greedy_ting-UX,1563.2508277893066
SMSEMOA-greedy_ting-HUX,1426.1319551467896
SMSEMOA-greedy_ting-HUX,1459.0256085395813
SMSEMOA-greedy_ting-HUX,1358.0844752788544
SMSEMOA-greedy_ting-HUX,1625.8158979415894
SMSEMOA-greedy_ting-HUX,1511.9893820285797
SMSEMOA-greedy_ting-1P,2639.643756389618
SMSEMOA-greedy_ting-1P,2686.3872113227844
SMSEMOA-greedy_ting-1P,2022.9886934757233
SMSEMOA-greedy_ting-1P,2379.2249341011047
SMSEMOA-greedy_ting-1P,2484.7814621925354
SMSEMOA-greedy_ting-2P,2181.0497925281525
SMSEMOA-greedy_ting-2P,2138.47313952446
SMSEMOA-greedy_ting-2P,2156.9695477485657
SMSEMOA-greedy_ting-2P,2327.316207885742
SMSEMOA-greedy_ting-2P,2274.9741151332855
SMSEMOA-greedy_multi-UX,879.7796847820282
SMSEMOA-greedy_multi-UX,1107.2825360298157
SMSEMOA-greedy_multi-UX,1253.0383930206299
SMSEMOA-greedy_multi-UX,829.4004895687103
SMSEMOA-greedy_multi-UX,781.9408190250397
SMSEMOA-greedy_multi-HUX,1134.784967660904
SMSEMOA-greedy_multi-HUX,1154.6786224842072
SMSEMOA-greedy_multi-HUX,792.4124758243561
SMSEMOA-greedy_multi-HUX,1148.157450914383
SMSEMOA-greedy_multi-HUX,1094.5638723373413
SMSEMOA-greedy_multi-1P,1658.1127169132233
SMSEMOA-greedy_multi-1P,1937.8579442501068
SMSEMOA-greedy_multi-1P,2158.9112350940704
SMSEMOA-greedy_multi-1P,1780.0018498897552
SMSEMOA-greedy_multi-1P,1613.9951088428497
SMSEMOA-greedy_multi-2P,1576.3962211608887
SMSEMOA-greedy_multi-2P,1981.1436307430267
SMSEMOA-greedy_multi-2P,1976.051429271698
SMSEMOA-greedy_multi-2P,1457.5730500221252
SMSEMOA-greedy_multi-2P,1886.277437210083
RVEA-random_dense-UX,132.44576358795166
RVEA-random_dense-UX,130.4948308467865
RVEA-random_dense-UX,79.96124124526978
RVEA-random_dense-UX,130.3005666732788
RVEA-random_dense-UX,111.58976459503174
RVEA-random_dense-HUX,128.66532731056213
RVEA-random_dense-HUX,134.33631944656372
RVEA-random_dense-HUX,130.63522720336914
RVEA-random_dense-HUX,115.05941224098206
RVEA-random_dense-HUX,116.55237579345703
RVEA-random_dense-1P,83.15347671508789
RVEA-random_dense-1P,137.30517387390137
RVEA-random_dense-1P,150.92584609985352
RVEA-random_dense-1P,81.56080150604248
RVEA-random_dense-1P,150.75431108474731
RVEA-random_dense-2P,132.6213355064392
RVEA-random_dense-2P,93.12974262237549
RVEA-random_dense-2P,143.116849899292
RVEA-random_dense-2P,140.31245160102844
RVEA-random_dense-2P,79.1120502948761
RVEA-greedy_ting-UX,170.83577036857605
RVEA-greedy_ting-UX,162.9787576198578
RVEA-greedy_ting-UX,241.02842211723328
RVEA-greedy_ting-UX,222.4791066646576
RVEA-greedy_ting-UX,238.5780153274536
RVEA-greedy_ting-HUX,210.43387174606323
RVEA-greedy_ting-HUX,236.08957171440125
RVEA-greedy_ting-HUX,234.14574003219604
RVEA-greedy_ting-HUX,139.0184142589569
RVEA-greedy_ting-HUX,199.2157244682312
RVEA-greedy_ting-1P,244.44878911972046
RVEA-greedy_ting-1P,191.49954867362976
RVEA-greedy_ting-1P,201.91321277618408
RVEA-greedy_ting-1P,241.86679935455322
RVEA-greedy_ting-1P,180.13512182235718
RVEA-greedy_ting-2P,206.1209216117859
RVEA-greedy_ting-2P,253.68972420692444
RVEA-greedy_ting-2P,234.293030500412
RVEA-greedy_ting-2P,238.26874041557312
RVEA-greedy_ting-2P,135.45393443107605
RVEA-greedy_multi-UX,240.04974675178528
RVEA-greedy_multi-UX,239.5421998500824
RVEA-greedy_multi-UX,266.4924669265747
RVEA-greedy_multi-UX,239.54442405700684
RVEA-greedy_multi-UX,230.21791529655457
RVEA-greedy_multi-HUX,211.6863739490509
